ISBN,trove_id,title,author,issued,type,relevance_score,relevance_value,identifier_type,identifier_linktype,identifier_value,start_year,author_processed,type_processed,decade,corpus,recency_score,popularity_score
9781741353006,192031954.0,Writing time : adventures in handwriting : practice book : Victorian modern cursive / Firefly Education,"Serenc, Mary",2014,"Book/Illustrated, Book",6.3984904289245605,very relevant,,,,2014.0,"Serenc, Mary",Book/Illustrated,2010.0,"9781741353006 Writing time : adventures in handwriting : practice book : Victorian modern cursive / Firefly Education Serenc, Mary Book/Illustrated",0.9867149758454107,0.013986951517087351
9781741353006,191620008.0,Writing Time F Student Book : Victorian Modern Cursive,Firefly Education,2014,"Book/Illustrated, Book",6.004440307617188,very relevant,,,,2014.0,Firefly Education,Book/Illustrated,2010.0,9781741353006 Writing Time F Student Book : Victorian Modern Cursive Firefly Education Book/Illustrated,0.9867149758454107,0.0
9780760935880,,,,,,,,,,,,Unknown,Unknown,,9780760935880,0.5,0.5
9780076044818,189779846.0,"SRA spelling mastery. Robert Dixon, Siegfried Engelmann","Dixon, Robert",2007,"Book, Book/Illustrated",8.935046195983887,very relevant,,,,2007.0,"Dixon, Robert",Book/Illustrated,2000.0,"9780076044818 SRA spelling mastery. Robert Dixon, Siegfried Engelmann Dixon, Robert Book/Illustrated",0.9782608695652174,0.10402291551206494
9780076044818,7832177.0,"Spelling mastery / Robert Dixon, Siegfried Engelmann, Mary Meier Bauer","Dixon, Robert, 1947-",1990-2007,"Book/Illustrated, Book",8.340190887451172,very relevant,,,,1990.0,"Dixon, Robert, 1947-",Book/Illustrated,1990.0,"9780076044818 Spelling mastery / Robert Dixon, Siegfried Engelmann, Mary Meier Bauer Dixon, Robert, 1947- Book/Illustrated",0.9577294685990339,0.08290831127714053
9781743305614,28579087.0,Comprehensive assessment of reading strategies,"Adcock, Deborah",1999-2013,"Book, Book/Illustrated",9.114736557006836,very relevant,,,,1999.0,"Adcock, Deborah",Book/Illustrated,1990.0,"9781743305614 Comprehensive assessment of reading strategies Adcock, Deborah Book/Illustrated",0.9685990338164251,0.11040108984018662
9781741250886,17911947.0,"Victorian targeting handwriting /  Tricia Dearborn, Jo Ryan, Stephen Michael King","Dearborn, Tricia",2004,"Book, Book/Illustrated",8.119243621826172,very relevant,,,,2004.0,"Dearborn, Tricia",Book/Illustrated,2000.0,"9781741250886 Victorian targeting handwriting /  Tricia Dearborn, Jo Ryan, Stephen Michael King Dearborn, Tricia Book/Illustrated",0.9746376811594203,0.07506570820452454
9781741250886,189779979.0,Targeting handwriting. : Victorian modern cursive / by Jane Pinsker and Jo Ryan ; illustrated by Stephen Michael King,"Pinsker, Jane",2003-2004,"Book/Illustrated, Book",8.119243621826172,very relevant,,,,2003.0,"Pinsker, Jane",Book/Illustrated,2000.0,"9781741250886 Targeting handwriting. : Victorian modern cursive / by Jane Pinsker and Jo Ryan ; illustrated by Stephen Michael King Pinsker, Jane Book/Illustrated",0.9734299516908212,0.07506570820452454
9780170129046,19387888.0,My PM word book / [text by Annette Smith ; illustrations by Rae Dale],"Smith, Annette, (Author at Cengage Learning)",2006,"Book/Illustrated, Book",6.3984904289245605,very relevant,,,,2006.0,"Smith, Annette, (Author at Cengage Learning)",Book/Illustrated,2000.0,"9780170129046 My PM word book / [text by Annette Smith ; illustrations by Rae Dale] Smith, Annette, (Author at Cengage Learning) Book/Illustrated",0.9770531400966184,0.013986951517087351
9780190322793,215602592.0,"Maths plus. mentals and homework book : New South Wales syllabus / Harry O'Brien, Greg Purcell","O'Brien, Harry",2016-2023,"Book/Illustrated, Book",10.703790664672852,very relevant,,,,2016.0,"O'Brien, Harry",Book/Illustrated,2010.0,"9780190322793 Maths plus. mentals and homework book : New South Wales syllabus / Harry O'Brien, Greg Purcell O'Brien, Harry Book/Illustrated",0.9891304347826086,0.16680513988390183
9780190312480,98479536.0,Handwriting first for Victoria / Maree Williams,"Williams, Maree",2011-2019,"Book/Illustrated, Book",12.157639503479004,very relevant,,,,2011.0,"Williams, Maree",Book/Illustrated,2010.0,"9780190312480 Handwriting first for Victoria / Maree Williams Williams, Maree Book/Illustrated",0.9830917874396136,0.21841003002855805
9781863112604,11293553.0,My desktop dictionary,R.I.C. Publications,1992-1998,"Book, Book/Illustrated",6.751034259796143,very relevant,,,,1992.0,R.I.C. Publications,Book/Illustrated,1990.0,9781863112604 My desktop dictionary R.I.C. Publications Book/Illustrated,0.9601449275362319,0.026500622249351145
9781741351828,163413090.0,iMaths,"Linthorne, Chris",2008-2012,"Book/Illustrated, Book, Sound, Sound/Other sound",15.12327766418457,very relevant,,,,2008.0,"Linthorne, Chris",Book/Illustrated,2000.0,"9781741351828 iMaths Linthorne, Chris Book/Illustrated",0.9794685990338164,0.32367642871253893
9781741353358,200331411.0,Think mentals. Maths strategies and practice / Chris Linthorne ; Sandra Williams ; Peter Williams,"Linthorne, Chris",2015-2018,"Book/Illustrated, Book",9.114736557006836,very relevant,,,,2015.0,"Linthorne, Chris",Book/Illustrated,2010.0,"9781741353358 Think mentals. Maths strategies and practice / Chris Linthorne ; Sandra Williams ; Peter Williams Linthorne, Chris Book/Illustrated",0.9879227053140096,0.11040108984018662
9781741353358,196238859.0,Think Mentals Student Book 1 : Maths Strategies and Practice,"Serence, Mary",2015,"Book/Illustrated, Book",6.751034259796143,very relevant,,,,2015.0,"Serence, Mary",Book/Illustrated,2010.0,"9781741353358 Think Mentals Student Book 1 : Maths Strategies and Practice Serence, Mary Book/Illustrated",0.9879227053140096,0.026500622249351145
9781741353358,229003627.0,Think Mentals 1 : maths strategies and practice / Mary Serenc,"Linthorne, Chris",2015,"Book/Illustrated, Book",6.3984904289245605,very relevant,,,,2015.0,"Linthorne, Chris",Book/Illustrated,2010.0,"9781741353358 Think Mentals 1 : maths strategies and practice / Mary Serenc Linthorne, Chris Book/Illustrated",0.9879227053140096,0.013986951517087351
9781741353501,32441205.0,Sound waves. Barbara Murray,"Murray, Barbara",2005-2018,"Book, Book/Illustrated",13.986993789672852,very relevant,,,,2005.0,"Murray, Barbara",Book/Illustrated,2000.0,"9781741353501 Sound waves. Barbara Murray Murray, Barbara Book/Illustrated",0.9758454106280193,0.2833436217850506
9781741353501,235447804.0,Sound waves F foundation : the whole-school phonemic approach to spelling / Barbara Murray ; Terri Watson,"Murray, Barbara",2018,"Book/Illustrated, Book",7.070510387420654,very relevant,,,,2018.0,"Murray, Barbara",Book/Illustrated,2010.0,"9781741353501 Sound waves F foundation : the whole-school phonemic approach to spelling / Barbara Murray ; Terri Watson Murray, Barbara Book/Illustrated",0.9915458937198067,0.03784054289986474
9780190310769,223338775.0,Oxford atlas+ for Australian schools F-2 / Oxford University Press,"Mancini, Robert",2018,"Book, Book/Illustrated, Map, Map/Atlas",11.87971305847168,very relevant,,,,2018.0,"Mancini, Robert",Book/Illustrated,2010.0,"9780190310769 Oxford atlas+ for Australian schools F-2 / Oxford University Press Mancini, Robert Book/Illustrated",0.9915458937198067,0.20854493038403432
9780190310769,253961964.0,Oxford australian curriculum atlas years f-2 - 3rd edition,Oxford Atlas,2017,Book,6.3984904289245605,very relevant,,,,2017.0,Oxford Atlas,Book,2010.0,9780190310769 Oxford australian curriculum atlas years f-2 - 3rd edition Oxford Atlas Book,0.9903381642512077,0.013986951517087351
9781925487459,235215797.0,My wellbeing journal. Lauren O'Brien,"O'Brien, Lauren",2018,"Book/Illustrated, Book",7.070510387420654,very relevant,,,,2018.0,"O'Brien, Lauren",Book/Illustrated,2010.0,"9781925487459 My wellbeing journal. Lauren O'Brien O'Brien, Lauren Book/Illustrated",0.9915458937198067,0.03784054289986474
9781925487459,237539920.0,My Wellbeing Journal : Primary Years 1-2 / Lauren O'Brien,"O'Brien, Lauren",2018,"Book/Illustrated, Book",6.004440307617188,very relevant,,,,2018.0,"O'Brien, Lauren",Book/Illustrated,2010.0,"9781925487459 My Wellbeing Journal : Primary Years 1-2 / Lauren O'Brien O'Brien, Lauren Book/Illustrated",0.9915458937198067,0.0
9780725334604,9530380.0,New improved modern cursive handwriting /  Gail and Paul Nightingale,"Nightingale, Gail",2004,"Book/Illustrated, Book",9.763036727905272,very relevant,,,,2004.0,"Nightingale, Gail",Book/Illustrated,2000.0,"9780725334604 New improved modern cursive handwriting /  Gail and Paul Nightingale Nightingale, Gail Book/Illustrated",0.9746376811594203,0.13341273878674975
9780195560367,26101936.0,"Grammar through text types. Peter Durkin, Virginia Ferguson","Durkin, Peter",2008,"Book/Illustrated, Book",13.144960403442385,very relevant,url,unknown,https://find.library.unisa.edu.au/discovery/fulldisplay/alma99132653401831/61USOUTHAUS_INST:UNISA,2008.0,"Durkin, Peter",Book/Illustrated,2000.0,"9780195560367 Grammar through text types. Peter Durkin, Virginia Ferguson Durkin, Peter Book/Illustrated",0.9794685990338164,0.25345534231973965
9780195560367,233502299.0,Grammar through text types - 1,"Durkin, Peter",2008,"Book/Illustrated, Book",6.3984904289245605,very relevant,,,,2008.0,"Durkin, Peter",Book/Illustrated,2000.0,"9780195560367 Grammar through text types - 1 Durkin, Peter Book/Illustrated",0.9794685990338164,0.013986951517087351
9780190312565,36375679.0,"Handwriting for New South Wales / Lesley Ljungdahl, Paul March","Ljungdahl, Lesley",2009-2019,"Book/Illustrated, Book",9.763036727905272,very relevant,,,,2009.0,"Ljungdahl, Lesley",Book/Illustrated,2000.0,"9780190312565 Handwriting for New South Wales / Lesley Ljungdahl, Paul March Ljungdahl, Lesley Book/Illustrated",0.9806763285024155,0.13341273878674975
9781876424503,225102764.0,Teaching THRASS whole word picture phonics : the essential guide to progression and assessment for teachers of English / Alan Davies & Denyse Ritchie,"Ritchie, Denyse",2003,"Book/Illustrated, Book",6.3984904289245605,very relevant,,,,2003.0,"Ritchie, Denyse",Book/Illustrated,2000.0,"9781876424503 Teaching THRASS whole word picture phonics : the essential guide to progression and assessment for teachers of English / Alan Davies & Denyse Ritchie Ritchie, Denyse Book/Illustrated",0.9734299516908212,0.013986951517087351
9781876424503,23904137.0,Teaching THRASS whole-picture keyword phonics : the essential guide to progression and assessment for all teachers of English / [Alan Davies & Denyse Ritchie],"Davies, Alan, Ph.D",2003-2006,"Book/Illustrated, Book",6.3984904289245605,very relevant,,,,2003.0,"Davies, Alan, Ph.D",Book/Illustrated,2000.0,"9781876424503 Teaching THRASS whole-picture keyword phonics : the essential guide to progression and assessment for all teachers of English / [Alan Davies & Denyse Ritchie] Davies, Alan, Ph.D Book/Illustrated",0.9734299516908212,0.013986951517087351
9781406313574,24201562.0,Willy the dreamer / Anthony Browne,"Browne, Anthony, 1946-",1997-2018,"Book/Illustrated, Book",13.219898223876951,very relevant,url,unknown,https://find.library.unisa.edu.au/discovery/fulldisplay/alma9933097001831/61USOUTHAUS_INST:UNISA,1997.0,"Browne, Anthony, 1946-",Book/Illustrated,1990.0,"9781406313574 Willy the dreamer / Anthony Browne Browne, Anthony, 1946- Book/Illustrated",0.966183574879227,0.25611528734839983
9781406313574,22520990.0,Willy the dreamer /  Anthony Browne,"Browne, Anthony,  1946-",1998-2024,"Book, Book/Illustrated",11.165064811706545,very relevant,url,restricted,http://openlibrary.org/books/OL20137523M,1998.0,"Browne, Anthony, 1946-",Book/Illustrated,1990.0,"9781406313574 Willy the dreamer /  Anthony Browne Browne, Anthony, 1946- Book/Illustrated",0.967391304347826,0.18317823249770526
9780593098431,240026406.0,Are we there yet? / Kathleen West,"West, Kathleen, 1978-",2021,"Book, Audio book",9.114736557006836,very relevant,,,,2021.0,"West, Kathleen, 1978-",Audio Book,2020.0,"9780593098431 Are we there yet? / Kathleen West West, Kathleen, 1978- Audio Book",0.9951690821256038,0.11040108984018662
9780190320225,,,,,,,,,,,,Unknown,Unknown,,9780190320225,0.5,0.5
9781741352801,,,,,,,,,,,,Unknown,Unknown,,9781741352801,0.5,0.5
