ISBN,trove_id,title,author,issued,type,relevance_score,relevance_value,identifier_type,identifier_linktype,identifier_value
9781925487459,237539920,My Wellbeing Journal : Primary Years 1-2 / Lauren O'Brien,"O'Brien, Lauren",2018,"Book/Illustrated, Book",6.0044403076171875,very relevant,,,
9780725334604,9530380,New improved modern cursive handwriting /  Gail and Paul Nightingale,"Nightingale, Gail",2004,"Book/Illustrated, Book",9.763036727905273,very relevant,,,
9780195560367,26101936,"Grammar through text types. Peter Durkin, Virginia Ferguson","Durkin, Peter",2008,"Book/Illustrated, Book",13.144960403442383,very relevant,url,unknown,https://find.library.unisa.edu.au/discovery/fulldisplay/alma99132653401831/61USOUTHAUS_INST:UNISA
9780195560367,233502299,Grammar through text types - 1,"Durkin, Peter",2008,"Book/Illustrated, Book",6.3984904289245605,very relevant,,,
9780190312565,36375679,"Handwriting for New South Wales / Lesley Ljungdahl, Paul March","Ljungdahl, Lesley",2009-2019,"Book/Illustrated, Book",9.763036727905273,very relevant,,,
9781876424503,225102764,Teaching THRASS whole word picture phonics : the essential guide to progression and assessment for teachers of English / Alan Davies & Denyse Ritchie,"Ritchie, Denyse",2003,"Book/Illustrated, Book",6.3984904289245605,very relevant,,,
9781876424503,23904137,Teaching THRASS whole-picture keyword phonics : the essential guide to progression and assessment for all teachers of English / [Alan Davies & Denyse Ritchie],"Davies, Alan, Ph.D",2003-2006,"Book/Illustrated, Book",6.3984904289245605,very relevant,,,
9781406313574,24201562,Willy the dreamer / Anthony Browne,"Browne, Anthony, 1946-",1997-2018,"Book/Illustrated, Book",13.219898223876953,very relevant,url,unknown,https://find.library.unisa.edu.au/discovery/fulldisplay/alma9933097001831/61USOUTHAUS_INST:UNISA
9781406313574,22520990,Willy the dreamer /  Anthony Browne,"Browne, Anthony,  1946-",1998-2024,"Book, Book/Illustrated",11.165064811706543,very relevant,url,restricted,http://openlibrary.org/books/OL20137523M
9780593098431,240026406,Are we there yet? / Kathleen West,"West, Kathleen, 1978-",2021,"Book, Audio book",9.114736557006836,very relevant,,,
9780190320225,,,,,,,,,,
9781741352801,,,,,,,,,,
9781488621161,230458930,"Australian Signpost Maths :  NSW /  Alan McSeveny, Diane McSeveny-Foster, Erika Johnson, Alan Parker, Rachel McSeveny","McSeveny, Alan",1900-2023,"Book, Book/Illustrated",15.701631546020508,very relevant,url,thumbnail,https://nla.gov.au/nla.obj-664431822-t
9781488621161,230458930,"Australian Signpost Maths :  NSW /  Alan McSeveny, Diane McSeveny-Foster, Erika Johnson, Alan Parker, Rachel McSeveny","McSeveny, Alan",1900-2023,"Book, Book/Illustrated",15.701631546020508,very relevant,url,restricted,https://nla.gov.au/nla.obj-664431013
9781488621161,230459040,"Australian signpost maths :  NSW mentals /  Alan McSeveny, Diane McSeveny-Foster, Rachel McSeveny","McSeveny, Alan",2018,"Book/Illustrated, Book",10.191031455993652,very relevant,url,thumbnail,https://nla.gov.au/nla.obj-664431553-t
9781488621161,230459040,"Australian signpost maths :  NSW mentals /  Alan McSeveny, Diane McSeveny-Foster, Rachel McSeveny","McSeveny, Alan",2018,"Book/Illustrated, Book",10.191031455993652,very relevant,url,restricted,https://nla.gov.au/nla.obj-664432378
9780190323172,179838815,Oxford grammar. Andrew Woods,"Woods, Andrew J",2012-2020,"Book, Book/Illustrated",10.053027153015137,very relevant,url,thumbnail,https://nla.gov.au/nla.obj-2975440663-t
